feature_source,feature_num_vertices,feature_num_edges,feature_largest_dist,feature_ratio_of_edges,feature_average_dist,feature_mean_degree,feature_std_deviation_degree,feature_clustering_coef,feature_energy,feature_std_devi_eig_adj,feature_connectivity,feature_small_nonzero_eig_lap,feature_sec_small_nonzero_eig_lap,feature_large_eig_lap,feature_sec_large_eig_lap,feature_small_eig_adj,feature_sec_small_eig_adj,feature_large_eig_adj,feature_sec_large_eig_adj,feature_gap_eig_adj,feature_gap_eig_lap
2-Insertions_5.col,597,3936,4.0,0.022124043033961757,3.277767957599275,13.185929648241206,8.498927098416386,0.0,2.342249568577555,3.6312435401995913,2.2656719945440082,2.276331351047568e-15,2.2656719945440082,150.05543054915262,75.93464149437436,-15.689976391221734,-14.657990041266936,16.532451492962238,13.037639305564017,3.494812187398221,150.05543054915262
2-FullIns_4.col,212,1621,4.0,0.07247607976392739,2.5932271270914917,15.29245283018868,8.191075425433066,0.00013796451246151685,2.4661741812772875,3.910556588286215,3.5083982567652123,2.7528049282332774e-14,3.5083982567652123,58.121677731932316,57.6070714432199,-17.01356640449349,-14.836018102118306,18.9329196303962,13.035819307295702,5.8971003231004975,58.12167773193229
1-FullIns_5.col,282,3247,3.0,0.08195149037126777,2.456994114984156,23.02836879432624,13.20054977493152,0.00015413903882140423,2.701725645223026,4.798788263127087,6.171808922273424,1.5204208361712476e-14,6.171808922273424,98.18623435972664,95.99999999999979,-23.191578200411225,-22.19765308949707,28.42196646423341,15.541118874118064,12.880847590115346,98.18623435972663
1-FullIns_3.col,30,100,3.0,0.22988505747126436,2.34,6.666666666666667,2.054804667656325,0.00541871921182266,1.850776610113129,2.5819888974716148,2.2320319482342397,-5.688464369972226e-17,2.2320319482342397,14.880948752984377,12.27676874491799,-6.2796820363286825,-4.936411197922083,7.300324470089086,4.403158670051522,2.8971658000375635,14.880948752984377
2-FullIns_3.col,52,201,4.0,0.1515837104072398,2.491863905325444,7.730769230769231,3.0199043834543997,0.0018099547511312218,1.987656024830152,2.7804260879888965,1.8166250212504789,-7.105427357601002e-15,1.8166250212504789,18.98628585295667,17.714320891383046,-7.8918142899813954,-5.244035367144503,8.965644730551503,6.2603681259926445,2.7052766045588585,18.986285852956676
2-Insertions_4.col,149,541,4.0,0.04906584436785779,3.1970631953515607,7.261744966442953,3.2344537274203904,0.0,1.9471337671857354,2.694762506500891,1.4145164270286446,-1.7810405442524152e-15,1.4145164270286446,38.13378971144507,20.337963704008416,-7.815562216697357,-7.256257999609749,8.216746682380341,6.418815194572799,1.797931487807542,38.13378971144507
2-FullIns_5.col,852,12201,4.0,0.033655517121530594,2.6412996759902136,28.640845070422536,20.429889804106182,1.0514458841248221e-05,2.989736948033434,5.3517142179326465,5.065823537055319,1.2789769243681803e-13,5.065823537055319,217.77220509726124,217.27696960293443,-35.1685438259687,-31.993081536074428,39.12354124825235,26.5753136700072,12.54822757824515,217.77220509726112
3-FullIns_4.col,405,3524,4.0,0.043075418652976406,2.777174211248285,17.40246913580247,10.846333798400792,3.475947263874444e-05,2.5987459549532272,4.171626677424829,2.9824298883431375,1.842877125911611e-14,2.9824298883431375,86.93756177322514,86.46741271865758,-21.489442048910583,-18.418595096951304,23.09443372305129,17.78485809227686,5.309575630774429,86.93756177322513
1-FullIns_4.col,93,593,3.0,0.1386161757830762,2.4190079778009017,12.75268817204301,5.523470768716972,0.0009170352788866113,2.2627243000947432,3.571090613810166,4.175376341758129,1.3233902914891367e-14,4.175376341758129,35.82559103073451,33.000000000000064,-12.306679358255199,-11.322946518308546,14.639341531662883,8.130710338912898,6.508631192749984,35.82559103073449
1-Insertions_4.col,67,232,3.0,0.10492989597467209,2.598351525952328,6.925373134328358,2.6894677542348933,0.0,1.9230061349158212,2.6316103690190094,2.1131806675851053,-4.081921031062365e-16,2.1131806675851053,23.273325438021892,16.386961229269662,-6.49106148904289,-6.239682497634713,7.559826139753204,4.533844373138559,3.0259817666146445,23.273325438021892
