instance_name,best,best_performance,DSATUR,Greedy,RLF
1-FullIns_3.col,4,4,4,4,4
1-FullIns_4.col,5,5,5,7,5
1-FullIns_5.col,6,6,6,8,6
1-Insertions_4.col,5,5,5,5,5
1-Insertions_5.col,6,6,6,6,6
1-Insertions_6.col,7,7,7,9,7
2-FullIns_3.col,5,5,5,5,5
2-FullIns_4.col,6,6,6,8,6
2-FullIns_5.col,7,7,7,11,7
2-Insertions_3.col,4,4,4,4,4
2-Insertions_4.col,5,5,5,6,5
2-Insertions_5.col,6,6,6,6,6
3-FullIns_4.col,7,7,7,9,7
3-FullIns_3.col,6,6,6,6,6
3-Insertions_3.col,4,4,4,4,4
3-FullIns_5.col,8,8,8,12,8
queen8_12.col,13,13,14,15,13
DSJR500.1c.col,88,88,88,105,94
DSJC250.5.col,35,35,38,42,35
miles500.col,20,20,20,23,20
5-FullIns_3.col,8,8,8,9,8
myciel3.col,4,4,4,4,4
miles750.col,31,31,31,32,31
DSJC500.1.col,15,15,16,21,15
wap05a.col,50,50,51,56,50
myciel5g.col,6,6,6,6,6
inithx.i.2.col,31,31,31,31,31
DSJC125.9g.col,49,49,52,54,49
le450_5a.col,7,7,10,13,7
wap08a.col,45,45,45,59,45
ash958GPIA.col,5,5,6,6,5
DSJC125.1gb.col,6,6,6,9,6
queen10_10.col,12,12,15,15,12
inithx.i.3.col,31,31,31,31,31
queen13_13.col,16,16,19,20,16
r125.1c.col,46,46,46,52,48
queen9_9g.col,11,11,13,14,11
R75_1g.col,4,4,5,6,4
DSJR500.5.col,130,130,130,145,132
queen8_8gb.col,10,10,11,13,10
queen9_9gb.col,11,11,13,14,11
myciel5gb.col,6,6,6,6,6
R50_1gb.col,4,4,4,4,4
myciel7gb.col,8,8,8,9,8
le450_25c.col,28,28,28,37,28
wap04a.col,46,46,48,61,46
queen7_7.col,9,9,10,12,9
4-FullIns_4.col,8,8,8,10,8
DSJC125.5.col,20,20,22,28,20
R75_5g.col,14,14,15,18,14
queen16_16.col,19,19,21,24,19
le450_15b.col,16,16,16,22,16
DSJC125.5g.col,20,20,22,28,20
wap03a.col,51,51,55,64,51
queen11_11g.col,14,14,15,17,14
4-Insertions_4.col,5,5,5,6,5
myciel6g.col,7,7,7,8,7
miles1500.col,73,73,73,74,73
DSJC250.9.col,85,85,89,93,85
queen12_12g.col,14,14,16,17,14
DSJC500.9.col,155,155,166,179,155
DSJC125.9.col,49,49,52,54,49
R75_5gb.col,14,14,15,18,14
wap02a.col,45,45,47,56,45
fpsol2.i.1.col,65,65,65,65,65
inithx.i.1.col,54,54,54,54,54
queen8_8.col,10,10,11,13,10
fpsol2.i.3.col,30,30,30,30,30
myciel6gb.col,7,7,7,8,7
mug100_1.col,4,4,4,4,4
abb313GPIA.col,11,11,12,17,11
mulsol.i.3.col,31,31,31,31,31
flat1000_50_0.col,105,105,116,121,105
flat1000_60_0.col,105,105,114,126,105
zeroin.i.2.col,30,30,30,31,30
DSJR500.1.col,13,13,13,15,13
queen10_10g.col,12,12,15,15,12
school1_nsh.col,25,25,27,38,25
myciel6.col,7,7,7,8,7
flat300_26_0.col,38,38,42,49,38
will199GPIA.col,7,7,7,11,7
school1.col,15,15,15,41,23
homer.col,561,561,nan,nan,nan
4-FullIns_5.col,9,9,9,13,9
zeroin.i.3.col,30,30,30,31,30
DSJC1000.1.col,25,25,26,31,25
ash331GPIA.col,5,5,5,7,5
C4000.5.col,362,362,380,403,362
r125.5.col,37,37,38,44,37
queen15_15.col,18,18,21,21,18
queen8_8g.col,10,10,11,13,10
flat1000_76_0.col,107,107,114,122,107
games120.col,9,9,9,9,9
flat300_28_0.col,40,40,43,47,40
miles250.col,8,8,8,10,8
DSJC1000.9.col,281,281,297,318,281
mulsol.i.5.col,31,31,31,31,31
R100_5gb.col,18,18,18,22,18
4-Insertions_3.col,4,4,4,5,4
R50_5g.col,11,11,11,13,11
R100_1gb.col,6,6,6,7,6
wap01a.col,48,48,50,57,48
R75_1gb.col,4,4,5,6,4
DSJC1000.5.col,108,108,116,126,108
queen5_5.col,5,5,5,7,5
queen11_11.col,14,14,15,17,14
r1000.1.col,20,20,20,24,20
DSJC500.5.col,61,61,64,73,61
5-FullIns_4.col,9,9,9,10,9
mulsol.i.1.col,49,49,49,49,49
R100_1g.col,6,6,6,7,6
mug88_25.col,4,4,4,4,4
le450_5b.col,6,6,9,13,6
myciel4.col,5,5,5,5,5
R75_9g.col,33,33,34,37,33
le450_25d.col,29,29,29,36,29
DSJC125.9gb.col,49,49,52,54,49
R100_9gb.col,40,40,40,46,40
myciel7g.col,8,8,8,9,8
R100_9g.col,40,40,40,46,40
le450_5c.col,5,5,11,17,5
queen11_11gb.col,14,14,15,17,14
4-FullIns_3.col,7,7,7,8,7
DSJC125.1g.col,6,6,6,9,6
david.col,11,11,11,12,11
wap06a.col,44,44,49,53,44
r1000.5.col,250,250,250,282,251
r1000.1c.col,106,106,106,139,112
R75_9gb.col,33,33,34,37,33
anna.col,11,11,11,11,11
DSJC125.5gb.col,20,20,22,28,20
3-Insertions_5.col,6,6,6,7,6
r250.1c.col,65,65,65,74,68
queen10_10gb.col,12,12,15,15,12
R50_1g.col,4,4,4,4,4
mug100_25.col,4,4,4,4,4
C57-N00855-B50-WAP_10.col,57,57,59,79,57
mug88_1.col,4,4,4,4,4
queen6_6.col,8,8,9,10,8
3-Insertions_4.col,5,5,5,6,5
ash608GPIA.col,5,5,6,7,5
r250.5.col,68,68,68,78,72
queen12_12.col,14,14,16,17,14
myciel7.col,8,8,8,9,8
queen14_14.col,17,17,20,21,17
r250.1.col,8,8,8,9,8
myciel5.col,6,6,6,6,6
r125.1.col,5,5,5,6,5
fpsol2.i.2.col,30,30,30,31,30
queen12_12gb.col,14,14,16,17,14
mulsol.i.4.col,31,31,31,31,31
DSJC250.1.col,10,10,10,12,10
le450_25a.col,25,25,25,28,25
queen9_9.col,11,11,13,14,11
R100_5g.col,18,18,18,22,18
le450_15d.col,23,23,24,30,23
miles1000.col,42,42,42,44,42
jean.col,10,10,10,10,10
flat300_20_0.col,37,37,41,44,37
R50_9gb.col,22,22,22,28,23
le450_15a.col,16,16,16,21,16
zeroin.i.1.col,49,49,49,49,49
R50_5gb.col,11,11,11,13,11
mulsol.i.2.col,31,31,31,31,31
C57-N00778-B50-WAP__9.col,57,57,59,79,57
R50_9g.col,22,22,22,28,23
le450_25b.col,25,25,25,29,25
wap07a.col,45,45,46,60,45
le450_15c.col,23,23,24,31,23
DSJC125.1.col,6,6,6,9,6
le450_5d.col,6,6,11,16,6
huck.col,11,11,11,11,11
